2024-10-28 01:32:09 | PID: 6995 | Usuario: jm-so | Operación: Creación | Archivo: tom.txt | Resultado: Éxito
2024-10-28 01:32:16 | PID: 7004 | Usuario: jm-so | Operación: Creación | Archivo: municipio.txt | Resultado: Éxito
2024-10-28 01:32:27 | PID: 7019 | Usuario: jm-so | Operación: Creación | Archivo: cat.txt | Resultado: Éxito
2024-10-28 01:32:43 | PID: 7030 | Usuario: jm-so | Operación: Creación | Archivo: cata.txt | Resultado: Éxito
2024-10-28 01:32:48 | PID: 7054 | Usuario: jm-so | Operación: Eliminación | Archivo: cata.txt | Resultado: Éxito
2024-10-28 01:32:53 | PID: 7128 | Usuario: jm-so | Operación: Escritura | Archivo: municipio.txt | Resultado: Éxito
2024-10-28 01:32:53 | PID: 7132 | Usuario: jm-so | Operación: Eliminación | Archivo: cat.txt | Resultado: Éxito
2024-10-28 01:32:54 | PID: 7158 | Usuario: jm-so | Operación: Ejecución | Archivo: cata.txt | Resultado: Error: Permiso denegado
2024-10-28 01:32:54 | PID: 7163 | Usuario: jm-so | Operación: Escritura | Archivo: cat.txt | Resultado: Éxito
2024-10-28 01:32:54 | PID: 7164 | Usuario: jm-so | Operación: Eliminación | Archivo: municipio.txt | Resultado: Éxito
2024-10-28 01:32:55 | PID: 7196 | Usuario: jm-so | Operación: Lectura | Archivo: cat.txt | Resultado: Éxito
2024-10-28 01:32:55 | PID: 7197 | Usuario: jm-so | Operación: Eliminación | Archivo: municipio.txt | Resultado: Error: No existe
2024-10-28 01:32:55 | PID: 7199 | Usuario: jm-so | Operación: Escritura | Archivo: cata.txt | Resultado: Éxito
2024-10-28 01:32:56 | PID: 7230 | Usuario: jm-so | Operación: Ejecución | Archivo: cat.txt | Resultado: Error: Permiso denegado
2024-10-28 01:32:56 | PID: 7229 | Usuario: jm-so | Operación: Ejecución | Archivo: municipio.txt | Resultado: Error: Permiso denegado
2024-10-28 01:32:56 | PID: 7231 | Usuario: jm-so | Operación: Eliminación | Archivo: cata.txt | Resultado: Éxito
2024-10-28 01:32:57 | PID: 7260 | Usuario: jm-so | Operación: Eliminación | Archivo: municipio.txt | Resultado: Error: No existe
2024-10-28 01:32:57 | PID: 7263 | Usuario: jm-so | Operación: Ejecución | Archivo: cat.txt | Resultado: Error: Permiso denegado
2024-10-28 01:32:57 | PID: 7265 | Usuario: jm-so | Operación: Eliminación | Archivo: cata.txt | Resultado: Error: No existe
2024-10-28 01:32:58 | PID: 7291 | Usuario: jm-so | Operación: Lectura | Archivo: cata.txt | Resultado: Error: No se encontró el archivo real
2024-10-28 01:32:58 | PID: 7294 | Usuario: jm-so | Operación: Eliminación | Archivo: municipio.txt | Resultado: Error: No existe
2024-10-28 01:32:58 | PID: 7300 | Usuario: jm-so | Operación: Ejecución | Archivo: cat.txt | Resultado: Error: Permiso denegado
2024-10-28 01:32:59 | PID: 7324 | Usuario: jm-so | Operación: Lectura | Archivo: municipio.txt | Resultado: Error: No se encontró el archivo real
2024-10-28 01:32:59 | PID: 7325 | Usuario: jm-so | Operación: Lectura | Archivo: cat.txt | Resultado: Éxito
2024-10-28 01:32:59 | PID: 7334 | Usuario: jm-so | Operación: Escritura | Archivo: cata.txt | Resultado: Éxito
2024-10-28 01:33:00 | PID: 7366 | Usuario: jm-so | Operación: Escritura | Archivo: cat.txt | Resultado: Éxito
2024-10-28 01:33:00 | PID: 7365 | Usuario: jm-so | Operación: Escritura | Archivo: municipio.txt | Resultado: Éxito
2024-10-28 01:33:00 | PID: 7367 | Usuario: jm-so | Operación: Eliminación | Archivo: cata.txt | Resultado: Éxito
2024-10-28 01:33:01 | PID: 7402 | Usuario: jm-so | Operación: Escritura | Archivo: municipio.txt | Resultado: Éxito
2024-10-28 01:33:01 | PID: 7403 | Usuario: jm-so | Operación: Escritura | Archivo: cat.txt | Resultado: Éxito
2024-10-28 01:33:01 | PID: 7404 | Usuario: jm-so | Operación: Escritura | Archivo: cata.txt | Resultado: Éxito
2024-10-28 01:33:02 | PID: 7436 | Usuario: jm-so | Operación: Lectura | Archivo: municipio.txt | Resultado: Éxito
2024-10-28 01:33:02 | PID: 7437 | Usuario: jm-so | Operación: Lectura | Archivo: cata.txt | Resultado: Éxito
2024-10-28 01:33:02 | PID: 7441 | Usuario: jm-so | Operación: Eliminación | Archivo: cat.txt | Resultado: Éxito
